;mmsi;lon;lat;date_time_utc;sog;cog;true_heading;nav_status;message_nr;source
50;1;0.40253307073657885;69.59017605554361;2021-01-01 00:02:05+00:00;20.512310747230828;254;254;0;18;
51;2;0.4014187401813072;69.58454007596576;2021-01-01 00:02:05+00:00;8.290534199081495;230;230;0;18;
52;1;0.4020256696366623;69.59003138882696;2021-01-01 00:02:10+00:00;20.512310747230828;253;253;0;18;
53;2;0.40125303250500644;69.58440584877314;2021-01-01 00:02:10+00:00;8.290534199081495;230;230;0;18;
54;1;0.4015187986657498;69.58988487287903;2021-01-01 00:02:15+00:00;20.512310747230828;253;253;0;18;
55;2;0.4010873245727498;69.58427162189652;2021-01-01 00:02:15+00:00;8.290534199081495;230;230;0;18;
56;1;0.4010121415457049;69.5897376188651;2021-01-01 00:02:20+00:00;20.512310747230828;253;253;0;18;
57;2;0.40092161643924745;69.58413739526833;2021-01-01 00:02:20+00:00;8.290534199081495;230;230;0;18;
58;1;0.40050558259599334;69.58959002744152;2021-01-01 00:02:25+00:00;20.512310747230828;253;253;0;18;
59;2;0.40075590814751416;69.58400316883548;2021-01-01 00:02:25+00:00;8.290534199081495;230;230;0;18;
60;1;0.399999068830556;69.58944228101471;2021-01-01 00:02:30+00:00;20.512310747230828;253;253;0;18;
61;2;0.40059019973137017;69.58386894255622;2021-01-01 00:02:30+00:00;8.290534199081495;230;230;0;18;
62;1;0.39949257584524306;69.58929446336438;2021-01-01 00:02:35+00:00;20.512310747230828;253;253;0;18;
63;2;0.4004244912174084;69.58373471639773;2021-01-01 00:02:35+00:00;8.290534199081495;230;230;0;18;
64;1;0.3989860924125482;69.58914661298569;2021-01-01 00:02:40+00:00;20.512310747230828;253;253;0;18;
65;2;0.4002587826265374;69.58360049033418;2021-01-01 00:02:40+00:00;9.006513754213579;230;230;0;18;
66;1;0.3984934360984666;69.58898577696725;2021-01-01 00:02:45+00:00;19.93091542936325;247;247;0;18;
67;2;0.40006449148136425;69.58347519618829;2021-01-01 00:02:45+00:00;9.006513754213579;241;241;0;18;
68;1;0.3980206341257375;69.58878759242634;2021-01-01 00:02:50+00:00;19.93091542936325;246;246;0;18;
69;2;0.39986086558897554;69.58336472199713;2021-01-01 00:02:50+00:00;9.006513754213579;242;242;0;18;
70;1;0.3975501879169979;69.58858385893409;2021-01-01 00:02:55+00:00;19.93091542936325;246;246;0;18;
