,mmsi,lon,lat,date_time_utc,sog,cog,true_heading,nav_status,message_nr,source
168,Ship1,6960021.736856063,41528.47338237153,42,10.149,222,222,,18,
169,Ship2,6959683.907644616,41157.844193794204,42,6.426,132,132,,2,
170,Ship3,6959196.52229411,40920.31846861231,42,9.843,275,275,,3,
171,Ship4,6960211.805769596,42198.762315997905,42,7.497,39,39,,1,
172,Ship1,6960014.314238104,41521.55189816402,43,10.149,222,222,,18,
173,Ship2,6959679.56665521,41162.58226164636,43,6.426,132,132,,2,
174,Ship3,6959197.3913890105,40910.513912372786,43,9.843,275,275,,3,
175,Ship4,6960217.629904248,42203.48295838671,43,7.497,39,39,,1,
176,Ship1,6960006.891631232,41514.630402067014,44,10.149,222,222,,18,
177,Ship2,6959675.222987039,41167.31787383646,44,6.426,132,132,,2,
178,Ship3,6959198.2593794875,40900.709258297684,44,9.843,275,275,,3,
179,Ship4,6960223.454198523,42208.2034038314,44,7.497,39,39,,1,
180,Ship1,6959999.469034321,41507.70889528717,45,10.149,222,222,,18,
181,Ship2,6959670.876813456,41172.051186755714,45,6.426,132,132,,2,
182,Ship3,6959199.126374239,40890.904516123555,45,9.843,275,275,,3,
183,Ship4,6960229.278640449,42212.92366709207,45,7.497,39,39,,1,
184,Ship1,6959992.046446361,41500.787378908695,46,10.149,222,222,,18,
185,Ship2,6959666.528296529,41176.782346923676,46,6.426,132,132,,2,
186,Ship3,6959199.992471267,40881.09969460865,46,9.843,275,275,,3,
187,Ship4,6960235.103218951,42217.6437618229,46,7.497,39,39,,1,
188,Ship1,6959984.623866443,41493.86585390577,47,10.149,222,222,,18,
189,Ship2,6959662.177587779,41181.51149159992,47,6.426,132,132,,2,
190,Ship3,6959200.857758926,40871.294801632925,47,9.843,275,275,,3,
191,Ship4,6960240.927923786,42222.36370065506,47,7.497,39,39,,1,
192,Ship1,6959977.201293751,41486.94432115369,48,10.149,222,222,,18,
193,Ship2,6959657.824828875,41186.23874935937,48,6.426,132,132,,2,
194,Ship3,6959201.72231688,40861.48984428752,48,9.843,275,275,,3,
